Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply,Extraction Time
141,1inch Network,1INCH,$0.4711,1.34%,6.19%,10.01%,"$658,082,729","$71,083,572","1,396,883,733 1INCH",2024-12-15 09:40:42
142,SPX6900,SPX,$0.6709,0.72%,10.46%,6.57%,"$624,564,799","$36,038,347","930,993,090 SPX",2024-12-15 09:40:42
143,Nervos Network,CKB,$0.01347,0.41%,6.03%,18.90%,"$613,487,026","$59,015,298","45,551,300,192 CKB",2024-12-15 09:40:42
144,Kava,KAVA,$0.5548,0.58%,5.41%,19.54%,"$600,758,001","$22,420,406","1,082,853,872 KAVA",2024-12-15 09:40:42
145,Convex Finance,CVX,$6.07,0.26%,10.37%,12.05%,"$588,240,149","$64,434,288","96,888,828 CVX",2024-12-15 09:40:42
146,Livepeer,LPT,$15.95,0.06%,6.16%,23.96%,"$583,236,892","$60,977,742","36,566,391 LPT",2024-12-15 09:40:42
147,Kusama,KSM,$36.99,0.73%,4.96%,16.51%,"$586,248,903","$31,007,853","15,847,612 KSM",2024-12-15 09:40:42
148,APENFT,NFT,$0.06573,0.93%,4.95%,12.51%,"$572,969,330","$35,924,081","999,990,000,000,000 NFT",2024-12-15 09:40:42
149,Gigachad,GIGA,$0.06091,0.21%,9.33%,0.59%,"$566,603,593","$13,548,194","9,302,411,888 GIGA",2024-12-15 09:40:42
150,Creditcoin,CTC,$1.37,0.14%,1.02%,15.50%,"$565,100,762","$87,681,454","412,084,779 CTC",2024-12-15 09:40:42
151,Safe,SAFE,$1.21,0.02%,6.48%,18.11%,"$560,977,229","$24,181,216","463,757,969 SAFE",2024-12-15 09:40:42
152,SushiSwap,SUSHI,$2.11,1.27%,5.98%,5.30%,"$555,257,675","$190,606,072","262,585,505 SUSHI",2024-12-15 09:40:42
153,Trust Wallet Token,TWT,$1.33,1.39%,3.93%,11.20%,"$552,269,069","$16,567,385","416,649,900 TWT",2024-12-15 09:40:42
154,DeXe,DEXE,$9.60,0.26%,4.03%,11.42%,"$548,290,054","$2,346,939","57,103,740 DEXE",2024-12-15 09:40:42
155,BOOK OF MEME,BOME,$0.007945,0.58%,5.10%,24.61%,"$547,884,117","$177,414,090","68,956,958,356 BOME",2024-12-15 09:40:42
156,ether.fi,ETHFI,$2.62,0.80%,2.15%,9.98%,"$547,322,856","$172,199,914","209,032,899 ETHFI",2024-12-15 09:40:42
157,Dash,DASH,$44.96,0.64%,7.18%,23.14%,"$542,581,508","$90,960,354","12,066,893 DASH",2024-12-15 09:40:42
158,Theta Fuel,TFUEL,$0.08003,0.60%,1.47%,11.51%,"$542,403,823","$7,577,901","6,777,800,627 TFUEL",2024-12-15 09:40:42
159,Astar,ASTR,$0.07175,0.45%,8.61%,16.91%,"$533,094,377","$41,551,817","7,429,884,483 ASTR",2024-12-15 09:40:42
160,PAX Gold,PAXG,"$2,652.97",0.13%,0.56%,0.94%,"$526,256,856","$6,688,158","198,365 PAXG",2024-12-15 09:40:42
161,Holo,HOT,$0.003027,1.96%,6.98%,18.16%,"$529,026,547","$19,687,923","174,747,454,215 HOT",2024-12-15 09:40:42
162,Enjin Coin,ENJ,$0.2921,0.31%,7.81%,19.35%,"$520,378,921","$37,509,635","1,781,274,084 ENJ",2024-12-15 09:40:42
163,Zilliqa,ZIL,$0.02645,0.25%,7.41%,22.26%,"$509,881,123","$44,691,109","19,278,900,415 ZIL",2024-12-15 09:40:42
164,WOO,WOO,$0.2737,0.61%,5.92%,18.72%,"$509,417,417","$19,534,498","1,861,547,795 WOO",2024-12-15 09:40:42
165,0x Protocol,ZRX,$0.6003,1.56%,7.08%,19.71%,"$509,280,941","$77,865,617","848,396,563 ZRX",2024-12-15 09:40:42
166,Act I : The AI Prophecy,ACT,$0.5328,2.40%,8.61%,14.21%,"$505,196,211","$324,823,077","948,246,433 ACT",2024-12-15 09:40:42
167,Echelon Prime,PRIME,$13.98,0.74%,2.71%,7.75%,"$500,000,346","$10,358,923","35,773,841 PRIME",2024-12-15 09:40:42
168,TrueUSD,TUSD,$1.00,0.01%,0.05%,2.38%,"$497,948,345","$52,805,382","495,601,553 TUSD",2024-12-15 09:40:42
169,GMT,GMT,$0.1901,1.33%,5.66%,19.82%,"$497,977,078","$32,175,924","2,619,469,850 GMT",2024-12-15 09:40:42
170,Magic Eden,ME,$3.82,0.57%,10.27%,66.21%,"$501,282,607","$399,284,587","131,246,200 ME",2024-12-15 09:40:42
171,io.net,IO,$3.95,0.72%,6.94%,10.17%,"$496,334,758","$156,502,223","125,631,683 IO",2024-12-15 09:40:42
172,PayPal USD,PYUSD,$0.9993,0.01%,0.02%,0.01%,"$491,079,122","$5,913,588","491,435,585 PYUSD",2024-12-15 09:40:42
173,Jito,JTO,$3.62,1.52%,6.08%,5.28%,"$476,918,880","$69,605,031","131,857,502 JTO",2024-12-15 09:40:42
174,SATS (Ordinals),SATS,$0.06224,2.86%,4.90%,27.49%,"$470,307,535","$61,039,479","2,100,000,000,000,000 SATS",2024-12-15 09:40:42
175,Harmony,ONE,$0.03217,2.05%,5.97%,26.48%,"$460,686,006","$23,110,899","14,320,102,384 ONE",2024-12-15 09:40:42
176,OriginTrail,TRAC,$1.09,0.51%,2.24%,5.94%,"$452,981,937","$3,433,496","414,995,032 TRAC",2024-12-15 09:40:42
177,Celo,CELO,$0.8022,0.50%,6.23%,21.04%,"$446,551,873","$66,720,825","556,692,051 CELO",2024-12-15 09:40:42
178,Arkham,ARKM,$1.97,0.65%,4.44%,17.95%,"$443,281,885","$74,789,529","225,100,000 ARKM",2024-12-15 09:40:42
179,Ankr,ANKR,$0.04432,1.43%,6.30%,16.21%,"$443,166,503","$17,828,905","10,000,000,000 ANKR",2024-12-15 09:40:42
180,WEMIX,WEMIX,$1.06,0.57%,6.10%,12.13%,"$440,474,512","$3,002,560","414,482,031 WEMIX",2024-12-15 09:40:42
181,dYdX (ethDYDX),ETHDYDX,$2.04,0.96%,4.99%,16.84%,"$441,493,618","$65,855,588","216,059,764 ETHDYDX",2024-12-15 09:40:42
182,Dymension,DYM,$1.98,0.53%,9.55%,21.83%,"$433,675,841","$531,519,783","218,686,821 DYM",2024-12-15 09:40:42
183,Memecoin,MEME,$0.01309,0.46%,6.57%,26.21%,"$433,941,078","$82,569,307","33,139,261,052 MEME",2024-12-15 09:40:42
184,EthereumPoW,ETHW,$4.04,0.32%,6.19%,20.25%,"$435,364,652","$20,863,618","107,818,999 ETHW",2024-12-15 09:40:42
